# x_m,y_m,w_tr_left_m,w_tr_right_m 
5.0,7.0,0.0,0.0
4.9,7.1000000000000005,0.0,0.0
4.800000000000001,7.1000000000000005,0.0,0.0
4.7,7.1000000000000005,0.0,0.0
4.6000000000000005,7.1000000000000005,0.0,0.0
4.5,7.1000000000000005,0.0,0.0
4.4,7.1000000000000005,0.0,0.0
4.3,7.1000000000000005,0.0,0.0
4.2,7.1000000000000005,0.0,0.0
4.1000000000000005,7.1000000000000005,0.0,0.0
4.0,7.1000000000000005,0.0,0.0
3.9000000000000004,7.1000000000000005,0.0,0.0
3.8000000000000003,7.1000000000000005,0.0,0.0
3.7,7.1000000000000005,0.0,0.0
3.6,7.1000000000000005,0.0,0.0
3.5,7.1000000000000005,0.0,0.0
3.4000000000000004,7.1000000000000005,0.0,0.0
3.3000000000000003,7.1000000000000005,0.0,0.0
3.2,7.1000000000000005,0.0,0.0
3.1,7.1000000000000005,0.0,0.0
3.0,7.1000000000000005,0.0,0.0
2.9000000000000004,7.1000000000000005,0.0,0.0
2.8000000000000003,7.0,0.0,0.0
2.7,6.9,0.0,0.0
2.6,6.800000000000001,0.0,0.0
2.5,6.7,0.0,0.0
2.4000000000000004,6.7,0.0,0.0
2.3000000000000003,6.6000000000000005,0.0,0.0
2.2,6.6000000000000005,0.0,0.0
2.1,6.5,0.0,0.0
2.0,6.4,0.0,0.0
1.9000000000000001,6.300000000000001,0.0,0.0
1.8,6.2,0.0,0.0
1.7000000000000002,6.1000000000000005,0.0,0.0
1.6,6.0,0.0,0.0
1.5,5.9,0.0,0.0
1.4000000000000001,5.800000000000001,0.0,0.0
1.3,5.7,0.0,0.0
1.2000000000000002,5.6000000000000005,0.0,0.0
1.2000000000000002,5.5,0.0,0.0
1.2000000000000002,5.4,0.0,0.0
1.2000000000000002,5.300000000000001,0.0,0.0
1.2000000000000002,5.2,0.0,0.0
1.2000000000000002,5.1000000000000005,0.0,0.0
1.2000000000000002,5.0,0.0,0.0
1.2000000000000002,4.9,0.0,0.0
1.2000000000000002,4.800000000000001,0.0,0.0
1.2000000000000002,4.7,0.0,0.0
1.2000000000000002,4.6000000000000005,0.0,0.0
1.2000000000000002,4.5,0.0,0.0
1.2000000000000002,4.4,0.0,0.0
1.2000000000000002,4.3,0.0,0.0
1.2000000000000002,4.2,0.0,0.0
1.2000000000000002,4.1000000000000005,0.0,0.0
1.3,4.0,0.0,0.0
1.4000000000000001,3.9000000000000004,0.0,0.0
1.5,3.8000000000000003,0.0,0.0
1.6,3.7,0.0,0.0
1.7000000000000002,3.6,0.0,0.0
1.8,3.5,0.0,0.0
1.9000000000000001,3.4000000000000004,0.0,0.0
2.0,3.3000000000000003,0.0,0.0
2.1,3.2,0.0,0.0
2.2,3.1,0.0,0.0
2.3000000000000003,3.0,0.0,0.0
2.4000000000000004,2.9000000000000004,0.0,0.0
2.5,2.8000000000000003,0.0,0.0
2.6,2.7,0.0,0.0
2.7,2.7,0.0,0.0
2.8000000000000003,2.6,0.0,0.0
2.9000000000000004,2.6,0.0,0.0
3.0,2.6,0.0,0.0
3.1,2.5,0.0,0.0
3.2,2.5,0.0,0.0
3.3000000000000003,2.5,0.0,0.0
3.4000000000000004,2.5,0.0,0.0
3.5,2.4000000000000004,0.0,0.0
3.6,2.4000000000000004,0.0,0.0
3.7,2.4000000000000004,0.0,0.0
3.8000000000000003,2.4000000000000004,0.0,0.0
3.9000000000000004,2.4000000000000004,0.0,0.0
4.0,2.4000000000000004,0.0,0.0
4.1000000000000005,2.4000000000000004,0.0,0.0
4.2,2.4000000000000004,0.0,0.0
4.3,2.4000000000000004,0.0,0.0
4.4,2.4000000000000004,0.0,0.0
4.5,2.4000000000000004,0.0,0.0
4.6000000000000005,2.4000000000000004,0.0,0.0
4.7,2.4000000000000004,0.0,0.0
4.800000000000001,2.4000000000000004,0.0,0.0
4.9,2.4000000000000004,0.0,0.0
5.0,2.4000000000000004,0.0,0.0
5.1000000000000005,2.4000000000000004,0.0,0.0
5.2,2.4000000000000004,0.0,0.0
5.300000000000001,2.4000000000000004,0.0,0.0
5.4,2.4000000000000004,0.0,0.0
5.5,2.4000000000000004,0.0,0.0
5.6000000000000005,2.4000000000000004,0.0,0.0
5.7,2.4000000000000004,0.0,0.0
5.800000000000001,2.4000000000000004,0.0,0.0
5.9,2.4000000000000004,0.0,0.0
6.0,2.4000000000000004,0.0,0.0
6.1000000000000005,2.4000000000000004,0.0,0.0
6.2,2.5,0.0,0.0
6.300000000000001,2.5,0.0,0.0
6.4,2.5,0.0,0.0
6.5,2.5,0.0,0.0
6.6000000000000005,2.6,0.0,0.0
6.7,2.6,0.0,0.0
6.800000000000001,2.6,0.0,0.0
6.9,2.7,0.0,0.0
7.0,2.7,0.0,0.0
7.1000000000000005,2.8000000000000003,0.0,0.0
7.2,2.9000000000000004,0.0,0.0
7.300000000000001,3.0,0.0,0.0
7.4,3.1,0.0,0.0
7.5,3.2,0.0,0.0
7.6000000000000005,3.3000000000000003,0.0,0.0
7.7,3.4000000000000004,0.0,0.0
7.800000000000001,3.5,0.0,0.0
7.9,3.6,0.0,0.0
8.0,3.7,0.0,0.0
8.1,3.8000000000000003,0.0,0.0
8.200000000000001,3.9000000000000004,0.0,0.0
8.3,4.0,0.0,0.0
8.4,4.1000000000000005,0.0,0.0
8.4,4.2,0.0,0.0
8.4,4.3,0.0,0.0
8.4,4.4,0.0,0.0
8.4,4.5,0.0,0.0
8.4,4.6000000000000005,0.0,0.0
8.4,4.7,0.0,0.0
8.4,4.800000000000001,0.0,0.0
8.4,4.9,0.0,0.0
8.4,5.0,0.0,0.0
8.4,5.1000000000000005,0.0,0.0
8.4,5.2,0.0,0.0
8.4,5.300000000000001,0.0,0.0
8.4,5.4,0.0,0.0
8.4,5.5,0.0,0.0
8.3,5.6000000000000005,0.0,0.0
8.3,5.7,0.0,0.0
8.200000000000001,5.800000000000001,0.0,0.0
8.1,5.9,0.0,0.0
8.0,6.0,0.0,0.0
7.9,6.1000000000000005,0.0,0.0
7.800000000000001,6.2,0.0,0.0
7.7,6.300000000000001,0.0,0.0
7.6000000000000005,6.4,0.0,0.0
7.5,6.5,0.0,0.0
7.4,6.6000000000000005,0.0,0.0
7.300000000000001,6.7,0.0,0.0
7.2,6.800000000000001,0.0,0.0
7.1000000000000005,6.9,0.0,0.0
7.0,6.9,0.0,0.0
6.9,7.0,0.0,0.0
6.800000000000001,7.0,0.0,0.0
6.7,7.1000000000000005,0.0,0.0
6.6000000000000005,7.1000000000000005,0.0,0.0
6.5,7.1000000000000005,0.0,0.0
6.4,7.1000000000000005,0.0,0.0
6.300000000000001,7.1000000000000005,0.0,0.0
6.2,7.1000000000000005,0.0,0.0
6.1000000000000005,7.1000000000000005,0.0,0.0
6.0,7.1000000000000005,0.0,0.0
5.9,7.1000000000000005,0.0,0.0
5.800000000000001,7.1000000000000005,0.0,0.0
5.7,7.1000000000000005,0.0,0.0
5.6000000000000005,7.1000000000000005,0.0,0.0
5.5,7.1000000000000005,0.0,0.0
5.4,7.1000000000000005,0.0,0.0
5.300000000000001,7.1000000000000005,0.0,0.0
5.2,7.1000000000000005,0.0,0.0
